Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
,,,,,,"Статистика за успеваемостта
НВО 7. клас",,,,,,,,,,,,
,,,,,,БЕЛ,МАТ,,,,,,Сумарен брой точки,,,,,
Точки (от - до),Общо,Брой >,Мъже,Брой >,Жени,Брой >,Общо,Брой >,Мъже,Брой >,Жени,Брой >,Общо,Брой >,Мъже,Брой >,Жени,Брой >
128 - 128.999,0,0,0,0,0,0,0,0,0,0,0,0,76,5734,32,2775,44,2959
129 - 129.999,0,0,0,0,0,0,0,0,0,0,0,0,80,5654,38,2737,42,2917
130 - 130.999,0,0,0,0,0,0,0,0,0,0,0,0,71,5583,28,2709,43,2874
131 - 131.999,0,0,0,0,0,0,0,0,0,0,0,0,97,5486,50,2659,47,2827
132 - 132.999,0,0,0,0,0,0,0,0,0,0,0,0,84,5402,37,2622,47,2780
133 - 133.999,0,0,0,0,0,0,0,0,0,0,0,0,69,5333,39,2583,30,2750
134 - 134.999,0,0,0,0,0,0,0,0,0,0,0,0,75,5258,36,2547,39,2711
135 - 135.999,0,0,0,0,0,0,0,0,0,0,0,0,89,5169,48,2499,41,2670
136 - 136.999,0,0,0,0,0,0,0,0,0,0,0,0,77,5092,37,2462,40,2630
137 - 137.999,0,0,0,0,0,0,0,0,0,0,0,0,85,5007,36,2426,49,2581
138 - 138.999,0,0,0,0,0,0,0,0,0,0,0,0,74,4933,31,2395,43,2538
139 - 139.999,0,0,0,0,0,0,0,0,0,0,0,0,76,4857,44,2351,32,2506
140 - 140.999,0,0,0,0,0,0,0,0,0,0,0,0,70,4787,27,2324,43,2463
141 - 141.999,0,0,0,0,0,0,0,0,0,0,0,0,71,4716,35,2289,36,2427
142 - 142.999,0,0,0,0,0,0,0,0,0,0,0,0,73,4643,39,2250,34,2393
143 - 143.999,0,0,0,0,0,0,0,0,0,0,0,0,83,4560,38,2212,45,2348
144 - 144.999,0,0,0,0,0,0,0,0,0,0,0,0,82,4478,49,2163,33,2315
145 - 145.999,0,0,0,0,0,0,0,0,0,0,0,0,63,4415,28,2135,35,2280
146 - 146.999,0,0,0,0,0,0,0,0,0,0,0,0,72,4343,39,2096,33,2247
147 - 147.999,0,0,0,0,0,0,0,0,0,0,0,0,88,4255,46,2050,42,2205
148 - 148.999,0,0,0,0,0,0,0,0,0,0,0,0,80,4175,38,2012,42,2163
149 - 149.999,0,0,0,0,0,0,0,0,0,0,0,0,101,4074,43,1969,58,2105
150 - 150.999,0,0,0,0,0,0,0,0,0,0,0,0,98,3976,50,1919,48,2057
151 - 151.999,0,0,0,0,0,0,0,0,0,0,0,0,68,3908,38,1881,30,2027
152 - 152.999,0,0,0,0,0,0,0,0,0,0,0,0,82,3826,43,1838,39,1988
153 - 153.999,0,0,0,0,0,0,0,0,0,0,0,0,83,3743,41,1797,42,1946
154 - 154.999,0,0,0,0,0,0,0,0,0,0,0,0,77,3666,38,1759,39,1907
155 - 155.999,0,0,0,0,0,0,0,0,0,0,0,0,95,3571,48,1711,47,1860
156 - 156.999,0,0,0,0,0,0,0,0,0,0,0,0,88,3483,49,1662,39,1821
157 - 157.999,0,0,0,0,0,0,0,0,0,0,0,0,111,3372,51,1611,60,1761
158 - 158.999,0,0,0,0,0,0,0,0,0,0,0,0,105,3267,52,1559,53,1708
159 - 159.999,0,0,0,0,0,0,0,0,0,0,0,0,93,3174,62,1497,31,1677
160 - 160.999,0,0,0,0,0,0,0,0,0,0,0,0,73,3101,40,1457,33,1644
161 - 161.999,0,0,0,0,0,0,0,0,0,0,0,0,115,2986,49,1408,66,1578
162 - 162.999,0,0,0,0,0,0,0,0,0,0,0,0,92,2894,47,1361,45,1533
163 - 163.999,0,0,0,0,0,0,0,0,0,0,0,0,92,2802,43,1318,49,1484
164 - 164.999,0,0,0,0,0,0,0,0,0,0,0,0,84,2718,40,1278,44,1440
165 - 165.999,0,0,0,0,0,0,0,0,0,0,0,0,96,2622,51,1227,45,1395
166 - 166.999,0,0,0,0,0,0,0,0,0,0,0,0,79,2543,43,1184,36,1359
167 - 167.999,0,0,0,0,0,0,0,0,0,0,0,0,96,2447,45,1139,51,1308
168 - 168.999,0,0,0,0,0,0,0,0,0,0,0,0,101,2346,48,1091,53,1255
169 - 169.999,0,0,0,0,0,0,0,0,0,0,0,0,114,2232,55,1036,59,1196
170 - 170.999,0,0,0,0,0,0,0,0,0,0,0,0,94,2138,48,988,46,1150
171 - 171.999,0,0,0,0,0,0,0,0,0,0,0,0,102,2036,50,938,52,1098
172 - 172.999,0,0,0,0,0,0,0,0,0,0,0,0,84,1952,47,891,37,1061
173 - 173.999,0,0,0,0,0,0,0,0,0,0,0,0,97,1855,49,842,48,1013
174 - 174.999,0,0,0,0,0,0,0,0,0,0,0,0,100,1755,46,796,54,959
175 - 175.999,0,0,0,0,0,0,0,0,0,0,0,0,100,1655,38,758,62,897
176 - 176.999,0,0,0,0,0,0,0,0,0,0,0,0,90,1565,43,715,47,850
177 - 177.999,0,0,0,0,0,0,0,0,0,0,0,0,97,1468,51,664,46,804
178 - 178.999,0,0,0,0,0,0,0,0,0,0,0,0,81,1387,39,625,42,762
179 - 179.999,0,0,0,0,0,0,0,0,0,0,0,0,104,1283,43,582,61,701
180 - 180.999,0,0,0,0,0,0,0,0,0,0,0,0,95,1188,40,542,55,646
181 - 181.999,0,0,0,0,0,0,0,0,0,0,0,0,95,1093,48,494,47,599
182 - 182.999,0,0,0,0,0,0,0,0,0,0,0,0,72,1021,27,467,45,554
183 - 183.999,0,0,0,0,0,0,0,0,0,0,0,0,94,927,40,427,54,500
184 - 184.999,0,0,0,0,0,0,0,0,0,0,0,0,84,843,44,383,40,460
185 - 185.999,0,0,0,0,0,0,0,0,0,0,0,0,92,751,42,341,50,410
186 - 186.999,0,0,0,0,0,0,0,0,0,0,0,0,70,681,35,306,35,375
187 - 187.999,0,0,0,0,0,0,0,0,0,0,0,0,76,605,29,277,47,328
188 - 188.999,0,0,0,0,0,0,0,0,0,0,0,0,93,512,46,231,47,281
189 - 189.999,0,0,0,0,0,0,0,0,0,0,0,0,69,443,35,196,34,247
190 - 190.999,0,0,0,0,0,0,0,0,0,0,0,0,57,386,29,167,28,219
191 - 191.999,0,0,0,0,0,0,0,0,0,0,0,0,48,338,24,143,24,195
192 - 192.999,0,0,0,0,0,0,0,0,0,0,0,0,51,287,21,122,30,165
193 - 193.999,0,0,0,0,0,0,0,0,0,0,0,0,59,228,33,89,26,139
194 - 194.999,0,0,0,0,0,0,0,0,0,0,0,0,52,176,20,69,32,107
195 - 195.999,0,0,0,0,0,0,0,0,0,0,0,0,43,133,17,52,26,81
196 - 196.999,0,0,0,0,0,0,0,0,0,0,0,0,47,86,24,28,23,58
197 - 197.999,0,0,0,0,0,0,0,0,0,0,0,0,39,47,13,15,26,32
198 - 198.999,0,0,0,0,0,0,0,0,0,0,0,0,29,18,10,5,19,13
199 - 199.999,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,2,12,1
200,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0
