"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
303,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,174.5,190,174.5,324,324,290.5
304,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,174,174,199,273,273,228
305,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",1,170,170,0,270,270,0
306,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,1,169,0,169,169,0,169
307,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,1,168,168,0,201,201,0
308,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),0.5,167,167,0,200,200,0
309,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,Извършване на термални процедури - АЕ,1,166.75,166.75,173,299.5,241,299.5
310,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,1,166,166,227.5,284,264,284
311,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,1,166,0,166,300,0,300
312,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,1,165,165,189,299,299,189
313,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,1,165,165,229.5,307.5,307.5,287.75
314,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",1,164.5,164.5,190,317.5,296,317.5
315,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,1,164,164,172,265.5,265.5,214
316,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,1,164,164,0,283,283,0
317,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,1,163.5,163.5,0,245.5,245.5,0
318,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,2,162,162,191,415.5,321.5,415.5
319,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,1,162,162,0,185.5,185.5,0
320,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,161,161,161.5,297.25,297.25,239.75
321,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Кетъринг - АЕ,1,160,160,216,216,160,216
322,2219130,"130. средно училище ""Стефан Караджа""",2236,Продавач-консултант,0.5,160,160,175,175,160,175
323,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4272,"Конструиране, моделиране и технология на кожено-галантерийни изделия",1,158.5,158.5,0,158.5,158.5,0
324,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,1,157,157,197.5,257,257,245
325,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",1,157,236,157,236,236,191
326,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,1,156,156,0,402.75,402.75,0
327,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,1,156,156,0,274,274,0
328,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),0.5,154,154,0,154,154,0
329,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,1,152.5,161,152.5,225.5,161,225.5
330,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",1,152.25,152.25,227.5,398.5,360.75,398.5
331,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,1,152,152,0,177,177,0
332,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,1,152,152,0,152,152,0
333,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",1,150,0,150,178.5,0,178.5
334,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,147,147,0,237,237,0
335,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,144,147,144,294,263.75,294
336,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,1,143,284,143,284,284,143
337,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,1,141.5,147,141.5,147,147,141.5
338,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,1,141,141,0,301.75,301.75,0
339,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,"Производство на месо, месни продукти и риба - АЕ",1,139.25,145,139.25,173,173,158
340,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,Електронна търговия - АЕ интензивно,1,138.5,138.5,254,280.5,280.5,276.5
341,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,1,136.5,136.5,217,338,295.5,338
342,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника (дуална),1,136,136,0,237,237,0
343,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4426,"Природни науки - АЕ, РЕ",1,135,135,174.5,373.5,263,373.5
344,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),1,135,135,0,135,135,0
345,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,"Природни науки - АЕ интензивно, РЕ",1,133.5,133.5,179.5,360.25,342,360.25
346,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",1,133,133,254.5,254.5,133,254.5
347,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,133,133,190,266,266,266
348,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,1,133,133,248,302.5,302.5,248
349,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,1,133,133,0,133,133,0
350,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",1,132.5,132.5,153,293.5,209,293.5
351,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",1,132.5,215,132.5,360.5,279,360.5
352,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,1,132,132,259,259,132,259
353,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,1,130.5,130.5,215,275.5,262.5,275.5
354,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,1,130,130,0,224,224,0
355,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,1,128,138,128,164,138,164
356,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",4461,"Природни науки - АЕ интензивно, ФЕ",1,126,126,370.75,370.75,366.75,370.75
357,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,1,126,126,0,206,206,0
358,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,1,123,123,295.5,295.5,237,295.5
359,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,1,121,121,198,258,205,258
360,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),1,119,119,0,257.5,257.5,0
361,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,1,117,117,226.5,226.5,117,226.5
362,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2147,Автоматизация на непрекъснати производства - АЕ,1,116,116,0,116,116,0
363,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - ГрЕ,1,115,166,115,185.5,185.5,115
364,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Чужди езици - РЕ интензивно; АЕ,1,110,129,110,318,181,318
365,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,1,109.75,109.75,175.5,187,187,175.5
366,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,1,109,179.5,109,222.5,179.5,222.5
367,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),1,104,104,0,256,256,0
368,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,2,101,101,204.25,396.75,396.75,383.75
369,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,1,100,100,208,308.25,308.25,208
370,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Подемно - транспортна техника монтирана на пътни транспортни средства,1,99,99,0,329,329,0
371,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,1,98,98,117.5,266.5,266.5,205.5
372,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн /АЕ/,1,92,92,185,343.5,277.25,343.5
373,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,1,92,127,92,127,127,92
374,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,0.5,87,87,148,148,87,148
375,2210117,117. СУ,0975,Софтуерни и хардуерни науки,1,86,86,0,241.5,241.5,0
376,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,1,84,84,122,277,226,277
377,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,1,84,84,178.5,276,210.5,276
378,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",1,82,82,166,236.5,236.5,166
379,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,1,80,80,220.5,301.5,250,301.5
380,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",1,79,79,118,210.5,210.5,162.5
381,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,1,77,77,0,253.5,253.5,0
382,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,1,74,0,74,334.25,0,334.25
383,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,1,72,72,168,280,278,280
384,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,1,67,67,0,176,176,0
385,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,1,66,66,166,166,93,166
386,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,1,62,62,0,105.5,105.5,0
387,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,1,30,30,30,264,40,264
388,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,1,30,30,0,177,177,0
389,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,1,0,0,0,0,0,0
390,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,1,0,0,0,0,0,0
391,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,1,0,0,0,0,0,0
392,2219130,"130. средно училище ""Стефан Караджа""",4316,Продавач-консултант (дуална),0.5,0,0,0,0,0,0
393,2212037,"37. Средно училище ""Райна Княгиня""",4318,"Търговия на едро и дребно - АЕ разширено, ИЕ",1,0,0,0,0,0,0
394,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,1,0,0,0,0,0,0
395,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,1,0,0,0,0,0,0
396,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,1,0,0,0,0,0,0
397,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4328,Електрически машини и апарати (дуална),1,0,0,0,0,0,0
398,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4327,Електрообзавеждане на производството (дуална),1,0,0,0,0,0,0
399,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),1,0,0,0,0,0,0
400,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение,1,0,0,0,0,0,0
401,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,1,0,0,0,0,0,0
402,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4274,Организация и технология на козметичните услуги,1,0,0,0,0,0,0
403,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,1,0,0,0,0,0,0
404,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,Производство и преработка на мляко и млечни продукти,1,0,0,0,0,0,0
