"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2023 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
65,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",370,370,379,451,405,451
66,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",414.25,414.25,423.25,449.75,449.75,444
67,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",427.5,427.5,427.5,449.5,447,449.5
68,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ФЕ",386,390.5,386,449,449,433.5
69,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,"Чужди езици - АЕ интензивно, ИЕ",402.5,402.5,434,448.5,435,448.5
70,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,245.25,245.25,264.5,448.25,448.25,430.5
71,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",408.75,408.75,417.25,448.25,448.25,446.75
72,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,Интериорен дизайн - ФЕ,405.75,0,405.75,448,0,448
73,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,362,362,364,447.5,411,447.5
74,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ФЕ",378,378,382,447.5,447.5,410
75,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Чужди езици - АЕ интензивно, НЕ",415.5,416.5,415.5,446.5,446.5,440
76,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",335.5,336.5,335.5,446,401.5,446
77,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",417.5,419,417.5,446,446,445.25
78,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",394.5,394.5,406,445.5,420,445.5
79,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ЯЕ интензивно, АЕ",401.5,402.5,401.5,445,423.5,445
80,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",407.5,408,407.5,445,441.5,445
81,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,Интериорен дизайн- НЕ,408.25,0,408.25,445,0,445
82,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",373,373,398.5,443,424.5,443
83,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",375.5,379.5,375.5,442.75,408.25,442.75
84,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",402.5,402.5,442,442,433.75,442
85,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",249.5,250,249.5,441.5,441.5,399.5
86,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,402.25,402.25,402.75,441.5,405.25,441.5
87,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,176.5,176.5,192.75,441,299.25,441
88,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ФЕ",388.5,393.5,388.5,440,420,440
89,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ",405.25,406.5,405.25,439.5,425.75,439.5
90,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",401,401,421.5,438.5,422,438.5
