"СВОБОДНИ МЕСТА ЗА ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС 
ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
,,,,,,,,
127,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2907,профилирана,9,,
128,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2909,профилирана,5,,
129,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,2910,профилирана,9,,
130,Кремиковци,"85 СУ ""Отец Паисий"", ГР.СОФИЯ",Търговия на едро и дребно - АЕ,1929,професионална,0,,
131,Кремиковци,"117. СУ, ГР.БУХОВО",Софтуерни и хардуерни науки,0975,профилирана,5,,
132,Кремиковци,"162 ОбУ ""Отец Паисий"", ГР.СОФИЯ",Предприемачески,2956,профилирана,0,,
133,Лозенец,"21 СУ ""Христо Ботев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,0898,профилирана,1,,
134,Лозенец,"21 СУ ""Христо Ботев"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,0906,профилирана,2,,
135,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ БЕЛ,0388,профилирана,2,,
136,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ МАТ,0389,профилирана,,0,1
137,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ ГЕО,0390,профилирана,,1,0
138,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - ФЕ РЕ ИТ,0392,профилирана,,0,2
139,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Инф,0814,профилирана,1,,
140,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - НЕ,0821,профилирана,1,,
141,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Ф,0830,профилирана,0,,
142,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Б Х,0835,профилирана,0,,
143,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Х Б,0843,профилирана,0,,
144,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - НЕ Х Б,0845,профилирана,0,,
145,Лозенец,"НПМГ, ГР.СОФИЯ",Икономическо развитие - АЕ,0847,профилирана,0,,
146,Лозенец,"НПМГ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1177,профилирана,0,,
147,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - ИтЕ,0462,професионална,2,,
148,Лозенец,"ПГО, ГР.СОФИЯ",Бутикови облекла - ИтЕ,0472,професионална,0,,
149,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - АЕ,0476,професионална,2,,
150,Лозенец,"ПГО, ГР.СОФИЯ",Конструиранемоделиране и технология на облекло от текстил - АЕ,0491,професионална,1,,
151,Лозенец,"ПГО, ГР.СОФИЯ",Сценичен костюм - АЕ,0505,професионална,1,,
152,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Строителство и архитектура - АЕ,0719,професионална,1,,
153,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Водно строителство - АЕ,0735,професионална,0,,
154,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Транспортно строителство - АЕ,0748,професионална,0,,
155,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Геодезия - АЕ,0762,професионална,0,,
156,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Парково строителство и озеленяване - АЕ,0772,професионална,0,,
157,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Брокер недвижими имоти - АЕ,0838,професионална,0,,
158,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Строителство и архитектура - НЕ,0973,професионална,0,,
159,Лозенец,"НФСГ, ГР.СОФИЯ",Икономическа информатика - АЕ,2749,професионална,0,,
160,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - АЕ,2754,професионална,1,,
161,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - НЕ,2764,професионална,0,,
162,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - ФЕ,2768,професионална,0,,
163,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - АЕ (дуална),2791,професионална,0,,
164,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - НЕ (дуална),2798,професионална,0,,
165,Люлин,"27. СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки,2387,профилирана,2,,
166,Люлин,"37. СУ ""Райна Княгиня"", ГР.СОФИЯ",Предприемачески,2110,профилирана,5,,
167,Люлин,"40 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0508,профилирана,1,,
168,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2196,профилирана,3,,
169,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Икономическо развитие - НЕ интензивно,2200,профилирана,16,,
170,Люлин,"79 СУ ""Индира Ганди"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2427,профилирана,0,,
171,Люлин,"90 СУ, ГР.СОФИЯ",Предприемачески - ИЕ,1384,профилирана,7,,
172,Люлин,"96. СУ ""Л. Н. Толстой"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,0903,профилирана,0,,
173,Люлин,"97 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2506,профилирана,1,,
174,Люлин,"97 СУ, ГР.СОФИЯ",Търговия на едро и дребно - АЕ интензивно,2512,професионална,0,,
175,Люлин,"97 СУ, ГР.СОФИЯ",Предприемачески - АЕ,3037,профилирана,3,,
176,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,1834,профилирана,1,,
177,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1838,профилирана,1,,
178,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1844,профилирана,0,,
179,Младост,"10 СУ ""Теодор Траянов"", ГР.СОФИЯ",Обществени науки - АЕ,2101,профилирана,1,,
180,Младост,"39 СУ ""П.Динеков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1802,профилирана,0,,
181,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2566,профилирана,2,,
182,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Хуманитарни науки,2579,профилирана,1,,
183,Младост,"118 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2943,профилирана,0,,
184,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1546,профилирана,3,,
185,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Математически - АЕ интензивно,1557,профилирана,2,,
186,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1660,профилирана,2,,
187,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Банкова охрана и инкасова дейност - АЕ,1670,професионална,0,,
188,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Търговия на едро и дребно,2449,професионална,15,,
189,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Предприемачески,2454,профилирана,3,,
190,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Музика - АЕ,1118,профилирана,13,,
191,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Рекламна графика - АЕ,1123,професионална,4,,
192,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Български танци - АЕ,1142,професионална,5,,
193,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Системно програмиране - АЕ,2127,професионална,1,,
194,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Компютърни мрежи - АЕ,2132,професионална,0,,
195,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2582,профилирана,4,,
196,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески,3015,професионална,19,,
197,Надежда,"54 СУ, ГР.СОФИЯ",Чужди езици - АЕ интензивно,0749,профилирана,2,,
198,Надежда,"54 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0758,профилирана,2,,
199,Надежда,"101 СУ ""БАЧО КИРО"", ГР.СОФИЯ",Икономическо развитие - АЕ интензивно,2886,профилирана,3,,
200,Надежда,"101 СУ ""БАЧО КИРО"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2889,профилирана,1,,
201,Нови Искър,"170 СУ ""Васил Левски"", ГР.НОВИ ИСКЪР",Предприемачески - АЕ,2971,профилирана,0,,
202,Нови Искър,"170 СУ ""Васил Левски"", ГР.НОВИ ИСКЪР",Организация на туризма и свободното време - АЕ,2972,професионална,0,,
203,Нови Искър,"172 ОбУ ""Христо Ботев"", ГР.НОВИ ИСКЪР",Производство на облекло от текстил,2807,професионална,6,,
