СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 13.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
188.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2767  Чужди езици - АЕ интензивно ИЕ,293.5,360,без квоти
189.  ,"2219044  44. СУ ""НЕОФИТ БОЗВЕЛИ""",1536  Софтуерни и хардуерни науки - АЕ интензивно,292.5,366.5,без квоти
190.  ,"2213081  81. СУ ""Виктор Юго""",2579  Хуманитарни науки,292.25,432.25,без квоти
191.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0321  Кинотехника аудио- и видеосистеми - АЕ,290.5,424,без квоти
192.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2769  Системно програмиране - АЕ интензивно,288.5,417.75,без квоти
193.  ,2211417  ПГО,0476  Моден дизайн - АЕ,287.75,396,без квоти
194.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2762  Чужди езици - АЕ интензивно НЕ,286,428,без квоти
195.  ,"2221157  157 ГИЧЕ ""Сесар Вайехо""",1023  Чужди езици - ИЕ интензивно,284.5,442.5,без квоти
196.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2760  Приложно програмиране - АЕ интензивно,284,393.75,без квоти
197.  ,"2213128  128 СУ ""Алберт Айнщайн""",1660  Софтуерни и хардуерни науки - АЕ,282.5,393,без квоти
198.  ,"2206409  ПГТЕ ""Хенри Форд""",2380  Ремонт на летателни апарати - АЕ,276,381,без квоти
199.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2778  Чужди езици - ФЕ интензивно АЕ,274,386.5,без квоти
200.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0317  Медицинска техника - НЕ,274,345,без квоти
201.  ,"2206409  ПГТЕ ""Хенри Форд""",2376  Автомобилна  мехатроника - АЕ (дуална),272.5,407,без квоти
202.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0324  Очна оптика - АЕ,270.5,412,без квоти
203.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0906  Предприемачески - АЕ интензивно,270,338,без квоти
204.  ,2223431  ПГ по телекомуникации,0660  Телекомуникационни системи - АЕ,269.75,335.75,без квоти
205.  ,2211417  ПГО,0472  Бутикови облекла - ИтЕ,269,393.75,без квоти
206.  ,"2213081  81. СУ ""Виктор Юго""",2566  Чужди езици - АЕ интензивно,268,396,без квоти
207.  ,2216423  СПГТ,1285  Организация на хотелиерството - АЕ,267,409,без квоти
208.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0325  Лазерна и оптична техника - АЕ,267,381,без квоти
209.  ,"2221093  93 СУ ""Ал. Теодоров - Балан""",2878  Обществени науки - АЕ интензивно,266.75,356.5,без квоти
210.  ,"2209132  132. СУ ""Ваня Войнова""",0423  Софтуерни и хардуерни науки - АЕ,266,385.75,без квоти
211.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0930  Предприемачески - АЕ,263,329,без квоти
212.  ,"2221093  93 СУ ""Ал. Теодоров - Балан""",2876  Обществени науки - РЕ интензивно,258,406.5,без квоти
213.  ,"2209036  36 СУ ""Максим Горки""",0784  Чужди езици - АЕ,256,391,без квоти
214.  ,2212097  97 СУ,2506  Софтуерни и хардуерни науки - АЕ интензивно,254,445,без квоти
215.  ,"2213125  125 СУ ""Боян Пенев""",1557  Математически - АЕ интензивно,253.5,482.25,без квоти
216.  ,"2214101  101 СУ ""БАЧО КИРО""",2889  Софтуерни и хардуерни науки - АЕ интензивно,252.25,402,без квоти
217.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0939  Икономическо развитие - АЕ,252,389.5,без квоти
218.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2763  Компютърна техника и технологии - АЕ,249.75,366.5,без квоти
219.  ,2213118  118 СУ,2943  Софтуерни и хардуерни науки - АЕ интензивно,249,392.5,без квоти
220.  ,2216423  СПГТ,1287  Екскурзоводско обслужване - АЕ,249,389,без квоти
221.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0319  Измервателна и организационна техника - АЕ,248,306,без квоти
222.  ,"2212096  96. СУ ""Л. Н. Толстой""",0903  Чужди езици - АЕ интензивно,246,413.5,без квоти
223.  ,2216423  СПГТ,1286  Организация на обслужването в хотелиерството - АЕ,245,332,без квоти
224.  ,2211417  ПГО,0505  Сценичен костюм - АЕ,243.25,375.5,без квоти
225.  ,2223431  ПГ по телекомуникации,0746  Икономическа информатика - АЕ,241.5,329.25,без квоти
226.  ,2216423  СПГТ,1283  Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,240,385,без квоти
227.  ,"2206409  ПГТЕ ""Хенри Форд""",2367  Автомобилна мехатроника - АЕ,239,396.5,без квоти
228.  ,"2209036  36 СУ ""Максим Горки""",0778  Чужди езици - ИтЕ интензивно,237,353.5,без квоти
229.  ,"2213144  144 СУ ""Народни будители""",1123  Рекламна графика - АЕ,236.5,440,без квоти
230.  ,2224121  121 СУ,2637  Софтуерни и хардуерни науки - АЕ,236.5,387,без квоти
231.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2752  Компютърни мрежи - АЕ,235.25,287.25,без квоти
232.  ,2204311  ПГИИРЕ,2935  Чужди езици - ИЕ интензивно,233.5,404,без квоти
233.  ,"2220029  29. СУ ""Кузман Шапкарев""",2408  Софтуерни и хардуерни науки,233,337.5,без квоти
234.  ,"2214101  101 СУ ""БАЧО КИРО""",2886  Икономическо развитие - АЕ интензивно,231.5,375.5,без квоти
