СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 29.07.2020,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
159.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2769  Системно програмиране - АЕ интензивно,279.25,325,без квоти
160.  ,"2221093  93 СУ ""Ал. Теодоров - Балан""",2876  Обществени науки - РЕ интензивно,279,325.25,без квоти
161.  ,"2209036  36 СУ ""Максим Горки""",0778  Чужди езици - ИтЕ интензивно,278.5,307.5,без квоти
162.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2752  Компютърни мрежи - АЕ,278.5,278.5,без квоти
163.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0319  Измервателна и организационна техника - АЕ,278,293.5,без квоти
164.  ,"2213081  81. СУ ""Виктор Юго""",2566  Чужди езици - АЕ интензивно,276.5,325.5,без квоти
165.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2778  Чужди езици - ФЕ интензивно АЕ,275.5,299.5,без квоти
166.  ,2216423  СПГТ,1277  Кетъринг - РЕ,274.5,308.5,без квоти
167.  ,2212097  97 СУ,2506  Софтуерни и хардуерни науки - АЕ интензивно,273.5,365,без квоти
168.  ,2224121  121 СУ,2637  Софтуерни и хардуерни науки - АЕ,272,320.5,без квоти
169.  ,"2207068  68 СУ""Акад.Никола Обрешков""",2629  Софтуерни и хардуерни науки - АЕ,272,272,без квоти
170.  ,"2213128  128 СУ ""Алберт Айнщайн""",1670  Банкова охрана и инкасова дейност - АЕ,271,271,без квоти
171.  ,2211417  ПГО,0462  Моден дизайн - ИтЕ,269.5,317.75,без квоти
172.  ,2212097  97 СУ,3037  Предприемачески - АЕ,268.5,270,без квоти
173.  ,"2213081  81. СУ ""Виктор Юго""",2579  Хуманитарни науки,267.5,305.25,без квоти
174.  ,"2214101  101 СУ ""БАЧО КИРО""",2886  Икономическо развитие - АЕ интензивно,262.5,342.25,без квоти
175.  ,"2220029  29. СУ ""Кузман Шапкарев""",2408  Софтуерни и хардуерни науки,261.5,373.75,без квоти
176.  ,"2205408  СПГ ""Княгиня Евдокия""",2847  Маникюр педикюр и ноктопластика,261.5,285,без квоти
177.  ,"2209132  132. СУ ""Ваня Войнова""",0424  Спортно-туристическата дейност - АЕ,261.25,337.25,без квоти
178.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2774  Чужди езици - АЕ интензивно КитЕ или ГрЕ,260,298.5,без квоти
179.  ,2216423  СПГТ,1286  Организация на обслужването в хотелиерството - АЕ,258.5,332,без квоти
180.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2797  Екскурзоводско обслужване - АЕ интензивно РЕ,258,292,без квоти
181.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2756  Телекомуникационни системи - АЕ,255.25,279,без квоти
182.  ,"2219044  44. СУ ""НЕОФИТ БОЗВЕЛИ""",1538  Софтуерни и хардуерни науки - НЕ интензивно,254,315,без квоти
183.  ,"2203140  140. СУ ""Иван Богоров""",1904  Графичен дизайн,253.5,305.75,без квоти
184.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909  Технологичен и микробиологичен контрол в химични производства - лаборант,253.5,253.5,без квоти
185.  ,"2205408  СПГ ""Княгиня Евдокия""",2843  Фризьорство,253.5,253.5,без квоти
186.  ,2211417  ПГО,0472  Бутикови облекла - ИтЕ,250.5,289.5,без квоти
187.  ,2216423  СПГТ,1287  Екскурзоводско обслужване - АЕ,250,283.5,без квоти
188.  ,2214054  54 СУ,0758  Софтуерни и хардуерни науки - АЕ интензивно,249,299.5,без квоти
189.  ,"2201078  78. СУ ""Христо Смирненски""",0468  Софтуерни и хардуерни науки - АЕ,249,293.5,без квоти
190.  ,2216423  СПГТ,1281  Кетъринг - ИЕ,247,326.5,без квоти
191.  ,"2213128  128 СУ ""Алберт Айнщайн""",1660  Софтуерни и хардуерни науки - АЕ,245.5,340.5,без квоти
