СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 20.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
139.  ,"2220308  ПГИИ ""Проф. Н. Райнов""",1572  Компютърна графика,347.75,386.75,без квоти
140.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1358  Чужди езици - АЕ интензивно  НЕ,347.5,402,без квоти
141.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно,347.5,371.5,младежи
142.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0363  Чужди езици - АЕ интензивно ФЕ,346,413.5,без квоти
143.  ,2211420  НФСГ,2749  Икономическа информатика - АЕ,344.5,378,без квоти
144.  ,2211420  НФСГ,2791  Търговия - АЕ (дуална),342.5,394,без квоти
145.  ,"2205407  СПГЕ  ""Джон Атанасов""",2366  Микропроцесорна техника - АЕ,342,388.5,без квоти
146.  ,"2204030  30 СУ ""Братя Миладинови""",1307  Чужди езици - ИЕ интензивно  АЕ,341.5,396,без квоти
147.  ,2211420  НФСГ,2764  Икономика и мениджмънт - НЕ,340.5,388,без квоти
148.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0328  Компютърна техника и технологии - АЕ,339.5,423.5,без квоти
149.  ,"2205105  105. СУ ""Атанас Далчев""",2514  Чужди езици - ИтЕ интензивно,339.25,402,без квоти
150.  ,2211420  НФСГ,2768  Икономика и мениджмънт - ФЕ,339,409.5,без квоти
151.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1907  Природни науки - АЕ интензивно,338,404.75,без квоти
152.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0772  Парково строителство и озеленяване - АЕ,335.25,369,без квоти
153.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2215  Предприемачески - ФЕ интензивно,333.5,388.5,без квоти
154.  ,2204311  ПГИИРЕ,2934  Чужди езици - РумЕ интензивно,333,333,без квоти
155.  ,2211420  НФСГ,2798  Търговия - НЕ (дуална),332.5,376.5,без квоти
156.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0957  Хуманитарни науки - АЕ интензивно,331,374,без квоти
157.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1362  Математически - АЕ интензивно,330.5,383.5,без квоти
158.  ,2223431  ПГ по телекомуникации,0743  Приложно програмиране - АЕ,330.25,404.25,без квоти
159.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0762  Геодезия - АЕ,330.25,391,без квоти
160.  ,"2204134  134. СУ ""Д. Дебелянов""",1968  Софтуерни и хардуерни науки - АЕ интензивно,329.5,413.25,без квоти
161.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1526  Природни науки - АЕ интензивно,327,419.75,без квоти
162.  ,"2205407  СПГЕ  ""Джон Атанасов""",2372  Промишлена електроника - АЕ,327,376.5,без квоти
163.  ,"2224432  ПГД ""Елисавета Вазова""София",1227  Моден дизайн - ФЕ,326.75,366.5,без квоти
164.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1365  Природни науки - АЕ интензивно,325.5,417,без квоти
165.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2466  Организация на туризма и свободното време - АЕ интензивно КорЕ,324,364.75,без квоти
166.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0951  Чужди езици - АЕ интензивно НЕ или ИЕ,323.5,391,без квоти
167.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0958  Обществени науки - АЕ интензивно,322.75,410.25,без квоти
168.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2451  Чужди езици - КитЕ интензивно    АЕ,322.5,370,без квоти
169.  ,"2205408  СПГ ""Княгиня Евдокия""",2842  Извършване на термални процедури - АЕ (дуална),316.75,316.75,без квоти
170.  ,"2213125  125 СУ ""Боян Пенев""",1546  Хуманитарни науки - АЕ интензивно,313.5,400.25,без квоти
171.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0735  Водно строителство - АЕ,312.25,395.5,без квоти
172.  ,"2204018  18 СУ ""Уилям Гладстон""",1637  Чужди езици - АрЕ интензивно   АЕ,312,360.5,без квоти
173.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1366  Предприемачески - ИЕ интензивно,311,382,без квоти
174.  ,"2207108  108 СУ ""Н.Беловеждов""",1896  Предприемачески  - АЕ,310.75,310.75,без квоти
175.  ,2223431  ПГ по телекомуникации,0722  Компютърни мрежи - АЕ,310,443,без квоти
176.  ,"2209019  19 СУ ""Елин Пелин""",2693  Предприемачески - НЕ интензивно,310,394.5,без квоти
177.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0748  Транспортно строителство - АЕ,308.5,388.75,без квоти
178.  ,"2204030  30 СУ ""Братя Миладинови""",2602  Икономическо развитие - АЕ интензивно    НЕ,305,358.5,без квоти
179.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0838  Брокер недвижими имоти - АЕ,303.75,364.75,без квоти
180.  ,"2204030  30 СУ ""Братя Миладинови""",1308  Природни науки - ИЕ интензивно,303,423.5,без квоти
181.  ,"2210162  162 ОбУ ""Отец Паисий""",2956  Предприемачески,301,301,без квоти
182.  ,"2205105  105. СУ ""Атанас Далчев""",2543  Екскурзоводско обослужване - ИтЕ интензивно,300.75,383.5,без квоти
183.  ,"2209019  19 СУ ""Елин Пелин""",2682  Предприемачески - АЕ интензивно НорвЕ,297,392,без квоти
