"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
,,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
111,Красна поляна,"28 СУ ""А. Константинов"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0372,профилирана,8,,
112,Красна поляна,"28 СУ ""А. Константинов"", ГР.СОФИЯ",Физическо възпитание и спорт - АЕ,0374,профилирана,,,
113,Красна поляна,"123 СУ ""Стефан Стамболов, ГР.СОФИЯ",Логистика на товари и услуги,0631,професионална,13,,
114,Красна поляна,"135 СУ, ГР.СОФИЯ",Социална работа с деца и семейства в риск - АЕ,2783,професионална,6,,
115,Красна поляна,"СГХСТ, ГР.СОФИЯ",Производство на хляб хлебни и сладкарски изделия - АЕ,0547,професионална,6,,
116,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на сладкарски изделия - АЕ,0563,професионална,12,,
117,Красна поляна,"СГХСТ, ГР.СОФИЯ",Производство на сладкарски изделия - АЕ (дуална),0568,професионална,6,,
118,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на органични материали - карвинг - АЕ (дуална),0573,професионална,7,,
119,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - АЕ интензивно НорвЕ,2682,профилирана,3,,
120,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - АЕ интензивно ДатЕ,2689,профилирана,1,,
121,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - НЕ интензивно,2693,профилирана,0,,
122,Красно село,"36 СУ ""Максим Горки"", ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,0778,профилирана,6,,
123,Красно село,"36 СУ ""Максим Горки"", ГР.СОФИЯ",Чужди езици - АЕ,0784,профилирана,6,,
124,Красно село,"51 СУ, ГР.СОФИЯ",Компютърна графика - АЕ интензивно,2276,професионална,1,,
125,Красно село,"51 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2289,профилирана,1,,
126,Красно село,"51 СУ, ГР.СОФИЯ",Изобразително изкуство - АЕ,2291,профилирана,4,,
127,Красно село,"132. СУ ""Ваня Войнова"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,0423,профилирана,5,,
128,Красно село,"132. СУ ""Ваня Войнова"", ГР.СОФИЯ",Спортно-туристическата дейност - АЕ,0424,професионална,2,,
129,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2904,профилирана,6,,
130,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2907,профилирана,13,,
131,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2909,профилирана,10,,
132,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,2910,профилирана,14,,
133,Кремиковци,"85 СУ ""Отец Паисий"", ГР.СОФИЯ",Търговия на едро и дребно - АЕ,1929,професионална,5,,
134,Кремиковци,"117. СУ, ГР.БУХОВО",Софтуерни и хардуерни науки,0975,профилирана,7,,
135,Кремиковци,"156 ОбУ ""В.Левски"", ГР.СОФИЯ",Хуманитарни науки,1360,профилирана,,,
136,Кремиковци,"162 ОбУ ""Отец Паисий"", ГР.СОФИЯ",Предприемачески,2956,профилирана,0,,
137,Лозенец,"21 СУ ""Христо Ботев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,0898,профилирана,6,,
138,Лозенец,"21 СУ ""Христо Ботев"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,0906,профилирана,6,,
139,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ БЕЛ,0388,профилирана,0,,
140,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ МАТ,0389,профилирана,,1,2
141,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - НЕ РЕ ГЕО,0390,профилирана,,1,2
142,Лозенец,"35. СЕУ ""Добри Войников"", ГР.СОФИЯ",Чужди езици - ФЕ РЕ ИТ,0392,профилирана,,2,1
143,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Инф,0814,профилирана,3,,
144,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - НЕ,0821,профилирана,1,,
145,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Ф,0830,профилирана,0,,
146,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Б Х,0835,профилирана,0,,
147,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Х Б,0843,профилирана,0,,
148,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - НЕ Х Б,0845,профилирана,1,,
149,Лозенец,"НПМГ, ГР.СОФИЯ",Икономическо развитие - АЕ,0847,профилирана,0,,
150,Лозенец,"НПМГ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1177,профилирана,1,,
151,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - ИтЕ,0462,професионална,3,,
152,Лозенец,"ПГО, ГР.СОФИЯ",Бутикови облекла - ИтЕ,0472,професионална,2,,
153,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - АЕ,0476,професионална,6,,
154,Лозенец,"ПГО, ГР.СОФИЯ",Конструиранемоделиране и технология на облекло от текстил - АЕ,0491,професионална,4,,
155,Лозенец,"ПГО, ГР.СОФИЯ",Сценичен костюм - АЕ,0505,професионална,2,,
156,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Строителство и архитектура - АЕ,0719,професионална,1,,
157,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Водно строителство - АЕ,0735,професионална,0,,
158,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Транспортно строителство - АЕ,0748,професионална,1,,
159,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Геодезия - АЕ,0762,професионална,1,,
160,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Парково строителство и озеленяване - АЕ,0772,професионална,0,,
161,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Брокер недвижими имоти - АЕ,0838,професионална,5,,
162,Лозенец,"СГСАГ ""Христо Ботев"", ГР.СОФИЯ",Строителство и архитектура - НЕ,0973,професионална,0,,
163,Лозенец,"НФСГ, ГР.СОФИЯ",Икономическа информатика - АЕ,2749,професионална,0,,
164,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - АЕ,2754,професионална,5,,
165,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - НЕ,2764,професионална,2,,
166,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - ФЕ,2768,професионална,1,,
167,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - АЕ (дуална),2791,професионална,0,,
168,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - НЕ (дуална),2798,професионална,2,,
169,Люлин,"27. СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки,2387,профилирана,6,,
170,Люлин,"37. СУ ""Райна Княгиня"", ГР.СОФИЯ",Предприемачески,2110,профилирана,5,,
171,Люлин,"40 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0508,профилирана,1,,
172,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2196,профилирана,7,,
173,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Икономическо развитие - НЕ интензивно,2200,профилирана,20,,
174,Люлин,"79 СУ ""Индира Ганди"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2427,профилирана,12,,
175,Люлин,"90 СУ, ГР.СОФИЯ",Предприемачески - ИЕ,1384,профилирана,15,,
176,Люлин,"90 СУ, ГР.СОФИЯ",Природни науки - АЕ,1390,профилирана,19,,
177,Люлин,"96. СУ ""Л. Н. Толстой"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,0903,профилирана,3,,
178,Люлин,"97 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2506,профилирана,2,,
179,Люлин,"97 СУ, ГР.СОФИЯ",Търговия на едро и дребно - АЕ интензивно,2512,професионална,1,,
180,Люлин,"97 СУ, ГР.СОФИЯ",Предприемачески - АЕ,3037,профилирана,2,,
181,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,1834,профилирана,2,,
182,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1838,профилирана,2,,
183,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1844,профилирана,2,,
184,Младост,"10 СУ ""Теодор Траянов"", ГР.СОФИЯ",Обществени науки - АЕ,2101,профилирана,4,,
185,Младост,"39 СУ ""П.Динеков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1802,профилирана,3,,
