"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
45,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Компютърна техника и технологии - АЕ,328,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
46,Възраждане,"ПГТКИ, ГР.СОФИЯ",Бутикови облекла - АЕ,1856,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
47,Възраждане,"ПГТКИ, ГР.СОФИЯ","Конструиране моделиране и технология на
облекло от кожи",1865,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
48,Възраждане,"ПГТКИ, ГР.СОФИЯ","Конструиране моделиране и технология на
обувни изделия (дуална)",1868,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
49,Възраждане,"ПГТКИ, ГР.СОФИЯ","Конструиране моделиране и технология на
коженогалантерийни изделия",1870,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
50,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ",Пътно-строителна техника - АЕ,2524,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
51,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ","Подемно-транспортна техника монтирана
на пътни тр. средства - ФЕ",2528,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
52,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ",Електрически превозни средства - РЕ,2612,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
53,Изгрев,"105. СУ ""Атанас Далчев"",
ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,2514,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
54,Изгрев,"105. СУ ""Атанас Далчев"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2532,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
55,Изгрев,"105. СУ ""Атанас Далчев"",
ГР.СОФИЯ","Екскурзоводско обослужване - ИтЕ
интензивно",2543,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
56,Изгрев,"119 СУ ""Академик М.
Арнаудов"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1522,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ)
57,Изгрев,"119 СУ ""Академик М.
Арнаудов"", ГР.СОФИЯ",Природни науки - АЕ интензивно,1526,профилирана,26/-/-,"(1 * БЕЛ + 3 * МАТ) + (1 * БЗО + 1 *
ХООС)"
58,Изгрев,"119 СУ ""Академик М.
Арнаудов"", ГР.СОФИЯ",Чужди езици - РЕ интензивно,1532,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
59,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Системно програмиране - АЕ,2328,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
60,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Приложно програмиране - АЕ,2338,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
61,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Компютърни мрежи - АЕ,2360,професионална,52/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
62,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2363,професионална,52/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
63,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Микропроцесорна техника - АЕ,2366,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
64,Изгрев,"СПГЕ ""Джон Атанасов"",
ГР.СОФИЯ",Промишлена електроника - АЕ,2372,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
65,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ",Съдебна администрация - АЕ (дуална),2837,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ЧЕз)
66,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ","Икономическо информационно
осигуряване - АЕ",2840,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИТ + 1 * ЧЕз)
67,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ","Извършване на термални процедури - АЕ
(дуална)",2842,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз)
