"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
248,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Трайни насаждения,2901,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
249,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Цветарство,2903,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
250,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Каменоделство,2905,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)
251,Панчарево,"71 СУ ""П.Яворов"",
С.КАЗИЧЕНЕ",Икономическо развитие,1725,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
252,Панчарево,"192 СУ, С.БИСТРИЦА",Туристическа анимация,2952,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ИТ)
253,Подуяне,"24 СУ ""П. К. Яворов "",
ГР.СОФИЯ",Предприемачески,2439,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
254,Подуяне,"44. СУ ""Неофит Бозвели"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1536,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
255,Подуяне,"44. СУ ""Неофит Бозвели"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - НЕ
интензивно",1538,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
256,Подуяне,"95 СУ, ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,2354,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
257,Подуяне,"95 СУ, ГР.СОФИЯ",Чужди езици - РЕ интензивно АЕ,2359,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
258,Подуяне,"95 СУ, ГР.СОФИЯ",Природни науки - АЕ интензивно,2459,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * БЗО)
259,Подуяне,"130 СУ ""Стефан Караджа"",
ГР.СОФИЯ",Продавач-консултант,2236,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
260,Сердика,"14 СУ ""Проф. д-р А. Златаров,
ГР.СОФИЯ",Обществени науки - АЕ,1312,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ)
261,Сердика,"29. СУ ""Кузман Шапкарев"",
ГР.СОФИЯ",Софтуерни и хардуерни науки,2408,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИТ + 1 * ЧЕз)
262,Сердика,"29. СУ ""Кузман Шапкарев"",
ГР.СОФИЯ",Физическо възпитание и спорт,2411,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * СПО) + (1 * БЗО
+ 1 * ФВС)"
263,Сердика,"59 ОбУ ""Васил Левски"",
ГР.СОФИЯ",Готвач,1530,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
264,Сердика,"ПГИИ ""Проф. Н. Райнов"",
ГР.СОФИЯ",Компютърна графика,1572,професионална,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ +
1 * ИИ)"
265,Сердика,"ПГЖПТ ""Никола Корчев"",
ГР.СОФИЯ","Осигурителни и комуникационни системи в
жп инфраструктура - АЕ",1894,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
266,Сердика,"ПГЖПТ ""Никола Корчев"",
ГР.СОФИЯ",Локомотиви и вагони - АЕ (дуална),2000,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
267,Сердика,"ПГИИРЕ, ГР.СОФИЯ",Чужди езици - РумЕ интензивно,2934,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
268,Сердика,"ПГИИРЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно,2935,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
269,Сердика,"ПГИИРЕ, ГР.СОФИЯ","Екскурзоводско обслужване - РумЕ
интензивно",2937,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
270,Слатина,"23 СУ ""Фредерик Ж.-Кюри"",
ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,916,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
271,Слатина,"23 СУ ""Фредерик Ж.-Кюри"",
ГР.СОФИЯ",Предприемачески - АЕ,930,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
272,Слатина,"23 СУ ""Фредерик Ж.-Кюри"",
ГР.СОФИЯ",Икономическо развитие - АЕ,939,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
273,Слатина,"31 СУЧЕМ ""Иван Вазов"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2753,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
274,Слатина,"31 СУЧЕМ ""Иван Вазов"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2755,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
275,Слатина,"31 СУЧЕМ ""Иван Вазов"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ,2759,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
276,Слатина,"31 СУЧЕМ ""Иван Вазов"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2766,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
277,Слатина,"31 СУЧЕМ ""Иван Вазов"",
ГР.СОФИЯ",Математически - АЕ интензивно,3018,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
278,Слатина,"93 СУ ""Ал. Теодоров - Балан"",
ГР.СОФИЯ",Обществени науки - РЕ интензивно,2876,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ИТ)
279,Слатина,"93 СУ ""Ал. Теодоров - Балан"",
ГР.СОФИЯ",Обществени науки - АЕ интензивно,2878,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИТ)
280,Слатина,"94 СУ ""Д.Страшимиров"",
ГР.СОФИЯ",Предприемачески,2525,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
281,Слатина,"94 СУ ""Д.Страшимиров"",
ГР.СОФИЯ",Производство на облекло от текстил,2535,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИИ)
282,Слатина,"94 СУ ""Д.Страшимиров"",
ГР.СОФИЯ",Логистика на товари и услуги,2539,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
283,Слатина,"138 СУЗИЕ
""Проф.В.Златарски""",Чужди езици - АЕ интензивно ИЕ,1354,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)
284,Слатина,"138 СУЗИЕ
""Проф.В.Златарски""",Чужди езици - КитЕ интензивно АЕ,2451,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)
285,Слатина,"138 СУЗИЕ
""Проф.В.Златарски""",Чужди езици - ЯЕ интензивно АЕ,2456,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)
286,Слатина,"138 СУЗИЕ
""Проф.В.Златарски""","Организация на туризма и свободното
време - АЕ интензивно КорЕ",2466,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)
287,Слатина,"157 ГИЧЕ ""Сесар Вайехо"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно,1023,профилирана,130/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
288,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ","Автотранспортна техника - техник АЕ
(дуална)",2153,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
289,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ,2165,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
290,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Ремонт на летателни апарати - АЕ,2178,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
291,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ","Спедиция транспортна и складова
логистика - АЕ",2187,професионална,13/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
292,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ","Спедиция транспортна и складова
логистика - АЕ (дуална)",2212,професионална,13/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
293,Средец,"7. СУ ""Свети
Седмочисленици""",Чужди езици - АЕ интензивно ИЕ,359,профилирана,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
294,Средец,"7. СУ ""Свети
Седмочисленици""",Чужди езици - АЕ интензивно НЕ,360,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
295,Средец,"7. СУ ""Свети
Седмочисленици""","Софтуерни и хардуерни науки - АЕ
интензивно НЕ",361,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
296,Средец,"7. СУ ""Свети
Седмочисленици""",Чужди езици - АЕ интензивно ФЕ,363,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
297,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,2158,профилирана,0/39/39,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
298,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно ИЕ,2163,профилирана,0/39/39,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
299,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно НЕ,2168,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
300,Средец,"12 СУ ""Цар Иван Асен ІІ"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ или РЕ,2159,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
301,Средец,"12 СУ ""Цар Иван Асен ІІ"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ или РЕ,2209,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
302,Средец,"12 СУ ""Цар Иван Асен ІІ"",
ГР.СОФИЯ",Предприемачески - ФЕ интензивно,2215,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
303,Средец,"127 СРЕДНО УЧИЛИЩЕ,
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1358,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
304,Средец,"127 СРЕДНО УЧИЛИЩЕ,
ГР.СОФИЯ",Математически - АЕ интензивно,1362,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
305,Средец,"127 СРЕДНО УЧИЛИЩЕ,
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,1364,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
306,Средец,"127 СРЕДНО УЧИЛИЩЕ,
ГР.СОФИЯ",Природни науки - АЕ интензивно,1365,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
307,Средец,"127 СРЕДНО УЧИЛИЩЕ,
ГР.СОФИЯ",Предприемачески - ИЕ интензивно,1366,профилирана,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
308,Средец,"133 СУ ""А.С.Пушкин"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,2269,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
309,Средец,"133 СУ ""А.С.Пушкин"",
ГР.СОФИЯ",Чужди езици - ФЕ интензивно РЕ,2270,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
310,Средец,"133 СУ ""А.С.Пушкин"",
ГР.СОФИЯ",Чужди езици - РЕ интензивно АЕ,2272,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
311,Студентски,"55 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2144,профилирана,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
312,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Телекомуникационни системи - АЕ,660,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
313,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Оптически комуникационни системи - АЕ,707,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
314,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Компютърни мрежи - АЕ,722,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
315,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Компютърна техника и технологии - АЕ,730,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
316,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Системно програмиране - АЕ,738,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
317,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Приложно програмиране - АЕ,743,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
318,Студентски,"ПГ по телекомуникации,
ГР.СОФИЯ",Икономическа информатика - АЕ,746,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
319,Триадица,"22 СЕУ ""Г. С. Раковски"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2565,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
320,Триадица,"22 СЕУ ""Г. С. Раковски"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2577,профилирана,78/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
321,Триадица,"22 СЕУ ""Г. С. Раковски"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,3017,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
322,Триадица,"47 СУ, ГР.СОФИЯ",Предприемачески - АЕ интензивно,515,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
323,Триадица,"73. СУ ""Владислав Граматик"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно РЕ,2651,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
324,Триадица,"73. СУ ""Владислав Граматик"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно ФЕ,2656,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
325,Триадица,"73. СУ ""Владислав Граматик"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ,2658,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
326,Триадица,"121 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,2637,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ИТ)
327,Триадица,"121 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2642,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
328,Триадица,"121 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - ИЕ,2647,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ИТ)
329,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ М ФА,2018,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
330,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ БЕЛ,2020,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
331,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ","Чужди езици - АЕ интензивно НЕ БЗО
ХООС",2022,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
332,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици АЕ интензивно ИЕ М ГИ,2025,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
333,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,2028,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
334,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,2030,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
335,Триадица,"ІІ АЕГ ""Томас Джеферсън"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ М ИТ,2034,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
336,Триадица,"ПГ по дизайн ""Елисавета
Вазова"", ГР.СОФИЯ",Моден дизайн - ФЕ,1227,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
337,Триадица,"ПГ по дизайн ""Елисавета
Вазова"", ГР.СОФИЯ",Интериорен дизайн- НЕ,1290,професионална,22/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
338,Триадица,"ПГ по дизайн ""Елисавета
Вазова"", ГР.СОФИЯ",Интериорен дизайн - ИтЕ,1292,професионална,22/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
339,Триадица,"ПГ по дизайн ""Елисавета
Вазова"", ГР.СОФИЯ",Графичен дизайн - АЕ,1294,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
340,Триадица,"ПГ по дизайн ""Елисавета
Вазова"", ГР.СОФИЯ",Рекламна графика - АЕ,1296,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
341,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - АЕ интензивно,751,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
342,Триадица,"НТБГ, ГР.СОФИЯ","Застрахователно и осигурително дело - НЕ
интензивно",775,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
343,Триадица,"НТБГ, ГР.СОФИЯ",Оперативно счетоводство - РЕ интензивно,777,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
344,Триадица,"НТБГ, ГР.СОФИЯ",Бизнес администрация - ИЕ интензивно,779,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
345,Триадица,"НТБГ, ГР.СОФИЯ",Електронна търговия - АЕ интензивно,788,професионална,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
346,Триадица,"НТБГ, ГР.СОФИЯ","Икономическа информатика - АЕ
интензивно",802,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
347,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - ФЕ интензивно,933,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
348,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - НЕ интензивно,937,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
349,Триадица,"НТБГ, ГР.СОФИЯ",Електронна търговия - РЕ интензивно,941,професионална,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
