"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 30.07.2024 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
326,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",0,0,0,0,0,0
327,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",0,0,0,0,0,0
328,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",0,0,0,0,0,0
329,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,0,0,0,0,0,0
330,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",0,0,0,0,0,0
331,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,0,0,0,0,0,0
332,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,0,0,0,0,0,0
333,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,0,0,0,0,0,0
334,2210162,"162 Обединено училище ""Отец Паисий""",4591,Изобразително изкуство,0,0,0,0,0,0
335,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
336,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",0,0,0,0,0,0
337,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Природни науки - НЕ интензивно, АЕ",0,0,0,0,0,0
338,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КорЕ интензивно, АЕ",0,0,0,0,0,0
339,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4656,"Предприемачески - АЕ интензивно, НорвЕ",0,0,0,0,0,0
340,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4658,"Предприемачески - НЕ интензивно, ШвЕ",0,0,0,0,0,0
341,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",0,0,0,0,0,0
342,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",0,0,0,0,0,0
343,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Чужди езици - АЕ интензивно, ИЕ, БЗО и ХООС",0,0,0,0,0,0
344,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",0,0,0,0,0,0
345,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",0,0,0,0,0,0
346,2212037,"37. Средно училище ""Райна Княгиня""",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",0,0,0,0,0,0
347,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",0,0,0,0,0,0
348,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",0,0,0,0,0,0
349,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4765,Обществени науки - РЕ разширено - АЕ,0,0,0,0,0,0
350,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,0,0,0,0,0,0
351,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ ГИ М,0,0,0,0,0,0
352,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,0,0,0,0,0,0
353,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,0,0,0,0,0,0
354,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,0,0,0,0,0,0
355,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,0,0,0,0,0,0
356,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,0,0,0,0,0,0
357,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,0,0,0,0,0,0
358,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,0,0,0,0,0,0
359,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,0,0,0,0,0,0
360,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",0,0,0,0,0,0
361,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",0,0,0,0,0,0
362,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",0,0,0,0,0,0
363,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",0,0,0,0,0,0
364,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",0,0,0,0,0,0
365,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,0,0,0,0,0,0
366,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,Интериорен дизайн - ИтЕ,0,0,0,0,0,0
367,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3560,Електрообзавеждане на железопътна техника - РЕ,0,0,0,0,0,0
368,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална) - РЕ,0,0,0,0,0,0
369,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",4665,Осигурителни и комуникационни системи в ж.п. инфраструктура - АЕ,0,0,0,0,0,0
370,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства - РЕ,0,0,0,0,0,0
371,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение - АЕ,0,0,0,0,0,0
372,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,0,0,0,0,0,0
373,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,0,0,0,0,0,0
374,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника (дуална) - АЕ,0,0,0,0,0,0
375,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,0,0,0,0,0,0
376,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автотранспортна техника (дуална) - АЕ,0,0,0,0,0,0
377,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,"Производство на месо, месни продукти и риба",0,0,0,0,0,0
378,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,0,0,0,0,0,0
379,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,0,0,0,0,0,0
380,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,0,0,0,0,0,0
381,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,0,0,0,0,0,0
382,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),0,0,0,0,0,0
383,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),0,0,0,0,0,0
384,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",4486,Математически (математика и физика) - АЕ (РИЧЕ),0,0,0,0,0,0
385,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,0,0,0,0,0,0
386,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",0,0,0,0,0,0
387,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4777,"Приложно програмиране - АЕ, НЕ (дуална)",0,0,0,0,0,0
388,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",0,0,0,0,0,0
389,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ (дуална)",0,0,0,0,0,0
390,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,0,0,0,0,0,0
391,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,0,0,0,0,0,0
392,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,0,0,0,0,0,0
