"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2024 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
314,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,167,183,167,310.5,310.5,279.5
315,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,167,167,0,167,167,0
316,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,163.5,163.5,183,314,314,260.5
317,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",161,161,231.75,231.75,161,231.75
318,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,160.5,162.25,160.5,245.5,162.25,245.5
319,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),160.5,160.5,0,189,189,0
320,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",159,194,159,374,374,186
321,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,158.5,0,158.5,237,0,237
322,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,156,156,0,156,156,0
323,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,155,0,155,155,0,155
324,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4507,Организация на туризма и свободното време - АЕ,155,0,155,155,0,155
325,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника - АЕ,152,152,0,254,254,0
326,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",151.5,151.5,0,259.5,259.5,0
327,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,147,147,203.25,253,151,253
328,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,146,146,183.25,345.5,276.5,345.5
329,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,146,146,152,224.5,224.5,176
330,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",146,146,150,264,264,213
331,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна (дуална) - АЕ,145.5,145.5,0,193,193,0
332,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,142,142,243,243,142,243
333,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",141,141,0,313.75,313.75,0
334,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,141,148.5,141,318.5,318.5,194
335,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Бизнес администрация - РЕ интензивно; АЕ,140,140,231.5,309.5,309.5,281.5
336,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,136,136,287,394.25,297,394.25
337,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,135,135,172,231,193,231
338,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,133,133,0,171,171,0
339,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4272,"Конструиране, моделиране и технология на кожено-галантерийни изделия",132,132,215,220,220,217
340,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",130,130,187,250,250,231
341,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),128,128,0,152,152,0
342,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,127,127,165,245.5,245.5,165
343,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,125,125,150,313.5,235,313.5
344,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",124.25,124.25,178,308.75,287,308.75
345,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,121,121,0,121,121,0
346,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,119,177.25,119,235,212,235
347,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,117.5,133,117.5,326.5,280.25,326.5
348,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",117.5,117.5,123,158,158,123
349,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",116,116,121,211,211,179
350,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, НЕ",116,116,160,275.5,275.5,238.5
351,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,116,161,116,320,298.5,320
352,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",116,158.75,116,158.75,158.75,116
353,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,115,115,271,271,115,271
354,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници (дуална) - АЕ,115,115,226,285,285,226
355,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",114,262,114,263.5,263.5,114
356,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,111.5,111.5,171,213.5,194,213.5
357,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,"Електронна търговия - АЕ интензивно, НЕ",111,111,0,178,178,0
358,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,109,0,109,225,0,225
359,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,108,126,108,279.25,279.25,188.75
360,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно - АЕ,104,104,124,255.5,255.5,228
361,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,103,103,240,325.5,325.5,240
362,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",100,195.5,100,239.5,239.5,230.5
363,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,100,100,0,252.5,252.5,0
364,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,96,96,211.5,211.5,96,211.5
365,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",94,134,94,264.5,192,264.5
366,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,92,92,0,266,266,0
367,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",90,90,179,298.75,290,298.75
368,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",78,78,142.5,307,274,307
369,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,73,73,212,310,310,212
370,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,56,56,0,61,61,0
371,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,52,52,154,245,52,245
372,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ разширено,52,52,133.5,422,422,271
373,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,41,0,41,42,0,42
374,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",30,30,150.5,337.25,337.25,150.5
375,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,30,30,136.25,213.5,30,213.5
376,2215170,"170 Средно училище ""Васил Левски""",4779,Предприемачески - АЕ,0,0,0,0,0,0
377,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,0,0,0,0,0,0
378,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,0,0,0,0,0,0
379,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги,0,0,0,0,0,0
380,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",0,0,0,0,0,0
381,2212037,"37. Средно училище ""Райна Княгиня""",4470,"Малък и среден бизнес - АЕ разширено, Испански език",0,0,0,0,0,0
382,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,0,0,0,0,0,0
383,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3560,Електрообзавеждане на железопътна техника - РЕ,0,0,0,0,0,0
384,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална) - РЕ,0,0,0,0,0,0
385,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства - РЕ,0,0,0,0,0,0
386,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение - АЕ,0,0,0,0,0,0
387,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4727,Ветеринарен лаборант - АЕ,0,0,0,0,0,0
388,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,0,0,0,0,0,0
389,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,0,0,0,0,0,0
390,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,0,0,0,0,0,0
391,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,0,0,0,0,0,0
392,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - АЕ,0,0,0,0,0,0
,,,,,,,,,,
,Забележка: За паралелките с профил Физическо възпитание и спорт се кандидатства в съответното училище - 28. СУ и/или 132. СУ!,,,,,,,,,
