"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2022/ 2023 ГОДИНА ",,,,,,,
,,,,,,,
"Забележки: 
- Оцветените в зелено паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места",,,,,,,
№ по ред,Училище,,Паралелка,,Места,,
,Код,Име,Код,Име,Общо,Мъже,Жени
,,,,,,,
165,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",2,,
166,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",6,,
167,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",4,,
168,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",3,,
169,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",17,,
170,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",11,,
171,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",5,,
172,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,5,,
173,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,8,,
174,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,12,,
175,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,3,,
176,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",6,,
177,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,,
178,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",2,,
179,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",1,,
180,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",1,,
181,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,3,,
182,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",,,
183,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",,,1
184,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",,,
185,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,9,,
186,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,4,,
187,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,11,,
188,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,6,,
189,2212079,"79 средно училище ""Индира Ганди""",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,,
190,2212079,"79 средно училище ""Индира Ганди""",3988,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",6,,
191,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,3,,
192,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,3,,
193,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",1,,
194,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,4,,
195,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,4,,
196,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",,1,3
197,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",,1,
198,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",,,
199,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",2,,
200,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",4,,
201,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,Чужди езици - НЕ интензивно /АЕ,,2,2
202,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",2,,
203,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",2,,
