Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
76,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",0,0,0
77,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",0,1,0
78,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",0,0,1
79,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",0,0,0
80,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,0,-,-
81,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,-,-
82,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,0,-,-
83,"170 Средно училище ""Васил Левски""",3971,Софтуерни и хардуери науки - АЕ,1,-,-
84,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,12,-,-
85,"18 Средно училище ""Уилям Гладстон""",0897,Чужди езици - НЕ интензивно,2,-,-
86,"18 Средно училище ""Уилям Гладстон""",0902,Природни науки - АЕ интензивно,0,-,-
87,"18 Средно училище ""Уилям Гладстон""",0905,Чужди езици - ФЕ интензивно,0,-,-
88,"18 Средно училище ""Уилям Гладстон""",1631,Чужди езици - ЯЕ интензивно,1,-,-
89,"18 Средно училище ""Уилям Гладстон""",1637,Чужди езици - АрЕ интензивно,0,-,-
90,"18 Средно училище ""Уилям Гладстон""",1642,Чужди езици - КитЕ интензивно,0,-,-
91,"18 Средно училище ""Уилям Гладстон""",1647,Чужди езици - КорЕ интензивно,0,-,-
92,"18 Средно училище ""Уилям Гладстон""",3931,Природни науки - ФЕ интензивно,1,-,-
93,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3938,Предприемачески - АЕ интензивно /НорвЕ,2,-,-
