"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 11.07.2022
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Миниманлен бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
49,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",411.25,411.25,416,445.75,445.75,436
50,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",411,411,435,467,446.5,467
51,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",411,413,411,441.5,441.5,441
52,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",410.5,411.5,410.5,448.5,435.5,448.5
53,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",410.5,413,410.5,435.5,414,435.5
54,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",409.5,409.5,410.5,462.5,438,462.5
55,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",408,410.5,408,446,427.5,446
56,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,Софтуерни и хардуерни науки - АЕ интензивно /НЕ,408,410.5,408,445,434.5,445
57,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,Чужди езици - АЕ интензивно /НЕ,407.5,407.5,434,442.5,422.5,442.5
58,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,"Графичен дизайн - АЕ, ИтЕ",406.75,451.5,406.75,480.5,451.5,480.5
59,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно/ ИЕ, БЗО и ХООС",406.5,406.5,406.5,458.5,420,458.5
60,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,"Интериорен дизайн - ИтЕ, АЕ",404.5,409,404.5,469.75,434,469.75
61,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,Чужди езици - АЕ интензивно / ИЕ,404,404,441.5,463,448.5,463
62,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",401.75,405.75,401.75,436.25,416.5,436.25
63,2204018,"18 Средно училище ""Уилям Гладстон""",0905,Чужди езици - ФЕ интензивно,401,409,401,446,409,446
64,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, НЕ",400.5,400.5,428.5,461.5,438.5,461.5
65,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,"Интериорен дизайн- НЕ, АЕ",399.25,403.75,399.25,435.25,403.75,435.25
66,2204018,"18 Средно училище ""Уилям Гладстон""",0897,Чужди езици - НЕ интензивно,398.5,400,398.5,444,426,444
67,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",398.5,398.5,421.5,445.5,416.5,445.5
68,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",398,398,411.5,450,435.5,450
69,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, НЕ",397,398.5,397,454.5,420.5,454.5
70,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС НЕ интензивно, РЕ",396.75,396.75,408.25,468.25,468.25,451.75
71,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",396.5,396.5,399.5,444.25,444.25,415.5
72,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",394.5,394.5,395.5,437.75,437.75,427.5
73,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,394,397.25,394,460.25,431.5,460.25
74,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,393.75,393.75,394.5,439.5,439.5,424.75
75,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,"Рекламна графика - АЕ, ИтЕ",392.75,392.75,393,425,403.25,425
76,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,Чужди езици - НЕ интензивно,392.5,393.25,392.5,448.75,426.25,448.75
77,2204018,"18 Средно училище ""Уилям Гладстон""",0902,Природни науки - АЕ интензивно,392.5,393.5,392.5,431.5,401.5,431.5
78,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,"Интериорен дизайн - ФЕ, ИтЕ",391.75,395.25,391.75,410.25,395.25,410.25
