"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 11.07.2022
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Миниманлен бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
298,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),140,140,0,140,140,0
299,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,137,141,137,328,311.5,328
300,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,137,137,0,272.5,272.5,0
301,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,136,136,190,288.5,288.5,288
302,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,"Индустриални отношения - АЕ, РЕ",136,136,137,318.25,295.25,318.25
303,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,126.5,131,126.5,266.5,240,266.5
304,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,124.5,124.5,154.25,215,215,154.25
305,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,116,116,152,327.5,237,327.5
306,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,113,113,117,299.5,299.5,277
307,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,112,120,112,443,443,371
308,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",110,110,127,308.5,246.5,308.5
309,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",110,125,110,368,259.5,368
310,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,"Чужди езици - РЕ интензивно, АЕ",106,118,106,268,190,268
311,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1856,Бутикови облекла,106,107,106,311,175,311
312,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,103,128,103,378,238,378
313,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство на месо месни продукти и риба - АЕ,102,102,153.5,334.75,205.5,334.75
314,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,101,101,121.5,378,378,359
315,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,101,101,158,206,183,206
316,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),100.5,100.5,180,180,161,180
317,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,98.5,98.5,0,386.75,386.75,0
318,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,98,98,133,423.5,271,423.5
319,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,96.5,96.5,103,285,199,285
320,2208028,"28 Средно училище ""Алеко Константинов""",3868,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",96,96,119,232.5,232.5,169
321,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,96,96,109,324,277.5,324
322,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,93,93,144,252.5,252.5,167
323,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,92,97,92,212,212,175.5
324,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),92,92,0,143,143,0
325,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",4043,"Икономическо развитие-НЕ интензивно, АЕ",90.5,90.5,149,371.75,359,371.75
326,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,90,90,105.75,402.75,402.75,162
327,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,90,90,219.5,361.25,240.5,361.25
328,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),90,90,0,302.5,302.5,0
329,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,88,109,88,242,190.5,242
330,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,86.5,86.5,116.25,399,399,235.5
331,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,86,86,0,202,202,0
332,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,84,84,0,255.5,255.5,0
333,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",82,82,0,285,285,0
334,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,81,81,116,310,245.5,310
335,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",79,144.5,79,263.5,207.5,263.5
336,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1868,Конструиране моделиране и технология на обувни изделия (дуална),78,78,86,219,219,137.5
337,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,76,76,0,338.5,338.5,0
338,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,75.5,75.5,126.5,333,272.5,333
339,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",75,75,82,243,193,243
340,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3081,Електродомакинска техника - АЕ,75,75,0,147.5,147.5,0
341,2215176,176 ОУ,2460,Софтуерни и хардуерни науки - АЕ,73,73,209.5,225.5,225.5,213.5
342,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,72,72,0,228,228,0
343,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,71,71,0,197.5,197.5,0
344,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,70,70,78,282.5,282.5,199
345,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,68,68,68,333.5,321,333.5
346,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,68,68,213,313.5,313.5,213
347,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,67,69,67,301,253.25,301
348,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,66,66,101,305,243,305
349,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",66,66,102,221,190,221
350,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,65,65,0,291,291,0
351,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,62,62,65,193,90,193
352,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",62,62,81,253,253,208
353,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,60,65,60,243,243,190
354,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,59,59,68,336,265.5,336
355,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,58,58,0,206,206,0
356,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,56,56,134,242,168,242
357,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,50,121,50,205,205,180
358,2208123,"123 Средно училищe ""Стефан Стамболов""",3674,Логистика на товари и услуги /НЕ/,48,49,48,227.5,134,227.5
359,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,46,46,54,324.5,250,324.5
360,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер /АЕ/,46,46,46,245,245,208
361,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2905,Каменоделство,46,46,0,96,96,0
362,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,41,166.5,41,418.5,418.5,387.5
363,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,"Природни науки - АЕ интензивно, РЕ",41,97.5,41,285.25,234.75,285.25
364,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,41,41,56,163.5,163.5,56
365,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,41,41,0,231,231,0
366,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба",41,97,41,321.25,294.5,321.25
367,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,30,34,30,234,178,234
368,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,30,30,40,203,150,203
369,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,30,30,30,126,126,112
370,2219130,"130. средно училище ""Стефан Караджа""",2236,Продавач-консултант,30,30,89,208,134,208
371,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,30,30,30,392.5,392.5,208
372,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,30,30,30,248,241,248
373,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",30,30,30,209,151.5,209
374,2212037,"37. Средно училище ""Райна Княгиня""",2110,"Предприемачески - АЕ разширено, РЕ",30,30,30,332.5,236,332.5
375,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,30,30,105,197.5,141,197.5
376,2212079,"79 средно училище ""Индира Ганди""",3988,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",30,30,96,362,302.5,362
377,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,30,30,30,289,127,289
378,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,30,30,30,152,105,152
379,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,30,30,188,325,325,195.5
380,2209132,"132. Средно училище ""Ваня Войнова""",3191,Физическо възпитание и спорт,0,0,0,0,0,0
381,2208028,"28 Средно училище ""Алеко Константинов""",0374,"Физическо възпитание и спорт - АЕ, ИЕ",0,0,0,0,0,0
382,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Кетъринг - АЕ,0,0,0,0,0,0
383,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",4108,Логистика на товари и услуги - куриер /РЕ/,0,0,0,0,0,0
384,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2147,Автоматизация на непрекъснати производства - АЕ,0,0,0,0,0,0
385,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,Забележка: За паралелките с профил Физическо възпитание и спорт се кандидатства в съответното училище!,,,,,,,,,
