№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
43.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ  БЕЛ,433.5,442,младежи
44.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно  РЕ,433,443,девойки
45.  ,2224433  НТБГ,0751  Банково дело - АЕ интензивно  ФЕ,432,441.5,девойки
46.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,432,437,младежи
47.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,431.5,456,младежи
48.  ,2216301  Първа АЕГ,3349  Предприемачество - АЕ интензивно НЕ,431.5,448.5,младежи
49.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,431,452.5,младежи
50.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно  ИЕ,429,441.5,девойки
51.  ,"2211419  СГСАГ ""Христо Ботев""",0719  Строителство и архитектура - АЕ,427.75,450.25,без квоти
52.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,426.5,440.5,младежи
53.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2022  Чужди езици - АЕ интензивно НЕ БЗО ХООС,426,443.5,младежи
54.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,425.5,442.5,младежи
55.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,425,452,младежи
56.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно  АЕ,425,442.5,девойки
57.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно НЕ,425,442,девойки
58.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,425,431.5,младежи
