"СВОБОДНИ МЕСТА В ПАРАЛЕЛКИ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/2022 ГОДИНА 
/по информация от училищата към 03.09.2021 г./",,,,,,,
№,Училище:,Район:,Наименование на паралелката:,Код на паралелката:,Свободни места без квоти:,Свободни места за младежи:,Свободни места за девойки:
69,ПГЕА,Овча купел,8в - Системно програмиране АЕ/2-ри Руски език,2133,2,-,-
70,ПГЕА,Овча купел,8д - Приложно програмиране АЕ/2-ри Руски език,2138,6,-,-
71,ПГЕА,Овча купел,8е - Приложно програмиране АЕ/2-ри Немсик език,2138,5,-,-
72,ПГЕА,Овча купел,8а - Компютърни мрежи АЕ,2115,5,-,-
73,ПГЕА,Овча купел,8б - Компютърна техника и технологии,2123,2,-,-
74,"ПГСС ""БУЗЕМА""",Овча купел,Трайни насаждения,2901,8,0,0
75,"ПГСС ""БУЗЕМА""",Овча купел,Цветарство,2903,5,0,0
76,"ПГСС ""БУЗЕМА""",Овча купел,Каменоделство,2905,16,0,0
77,71 СУ Пейо Яворов,Панчарево,Икономическо развитие,1725,6,0,0
78,"192. СУ""Христо Ботев""",Панчарево,Туристическа анимация,2952,4,0,0
79,"24 СУ ""П.К.Яворов""",Подуяне,"профил ""Предприемачески""",2439,6,0,0
80,"130. СУ ""Стефан Караджа""",Подуяне,Икономическо развитие АЕ НЕ,3506,6,0,0
81,"ПГИИРЕ ""Михай Еминеску""",Сердика,Чужди езици - РумЕ интензивно АЕ,2934,1,-,-
82,"14 СУ ""Проф. д-р Асен Златаров""",Сердика,Обществени науки - АЕ РЕ ,1312,1,0,0
83,"59 Обединено училище ""Васил Левски"" - гр. София",Сердика,Готвач,1530,6,0,0
84,"59 Обединено училище ""Васил Левски"" - гр. София",Сердика,Готвач,1530,6,0,0
85,"94 СУ ""Димитър Страшимиров""",Слатина,"""Логистика на товари и услуги""",2539,13,-,-
86,"94 СУ ""Димитър Страшимиров""",Слатина,"""Производство на облекло от текстил""",2535,6,-,-
87,"94 СУ ""Димитър Страшимиров""",Слатина,"профил ""Предприемачески""",2525,3,-,-
88,"138. СУЗИЕ ""Проф. Васил Златарски""",Слатина,Организация на туризма и свободното време - АЕ интензивно КорЕ,2466,1,0,0
89,"Професионална гимназия по транспорт ""Макгахан""""",Слатина,Автотранспортна техника - техник АЕ (дуална) РЕ,2153,8,-,-
90,"Професионална гимназия по транспорт ""Макгахан""",Слатина,Автомобилна мехатроника АЕ  РЕ,2165,1,-,-
91,"Професионална гимназия по транспорт ""Макгахан""",Слатина,Ремонт на летателни апарати - АЕ РЕ,2178,4,-,-
92,"Професионална гимназия по транспорт ""Макгахан""",Слатина,Спедиция транспортна и складова логистика - АЕ (дневна) НЕ,2187,15,-,-
93,"Професионална гимназия по транспорт ""Макгахан""",Слатина,Спедиция транспортна и складова логистика - АЕ (дуална) НЕ,2212,19,-,-
94,"Професионална гимназия по транспорт ""Макгахан""",Слатина,Автотранспортна техника - техник АЕ (дневна) РЕ,3500,13,-,-
95,"133 СУ ""А.С.Пушкин""",Средец,Чужди езици РЕ интензивно АЕ,2272,0,1,0
96,"55 СУ "" Петко Каравелов""",Студентски,софтуерни и хардуерни науки- АЕ-интензивно,2144,1,-,-
97,"55 СУ"" Петко Каравелов""",Студентски,софтуерни и хардуерни науки-АЕ-интензивно,2144,1,-,-
98,22.СЕУ,Триадица,Чужди езици -АЕ интензивно ИЕ,2565,2,0,0
99,22.СЕУ,Триадица,Чужди езици - АЕ интензивно НЕ,3017,1,0,0
100,22.СЕУ,Триадица,Чужди езици - ИЕ интензивно АЕ,2577,2,0,0
101,НТБГ,Триадица,Банково дело с НЕ/АЕ,0937,0,1,0
,,,Общо свободни места:,,601,2,0
