Свободни места за четвърти етап на класиране към 08:00 ч. на 02.08.2021 г.,,,,,,,
Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи ,Девойки
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2847,Маникюр педикюр и ноктопластика,професионална,1,11,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3381,"Промишлен дизайн - АЕ, РЕ",професионална,1,9,0,0
"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2913,"Изобразително изкуство - РЕ, АЕ",профилирана,1,1,0,0
"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2914,"Графичен дизайн - АЕ, РЕ",професионална,1,4,0,0
"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1648,Продавач-консултант /РЕ/,професионална,1,3,0,0
"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1676,Продавач-консултант /АЕ/,професионална,1,2,0,0
"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2762,Чужди езици - АЕ интензивно НЕ,профилирана,1,1,0,0
"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2767,Чужди езици - АЕ интензивно ИЕ,профилирана,1,2,0,0
"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2774,Чужди езици - АЕ интензивно ФЕ или ГрЕ,профилирана,1,2,0,0
"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2778,Чужди езици - ФЕ интензивно АЕ,профилирана,1,0,0,0
"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2797,Екскурзоводско обслужване - АЕ интензивно РЕ,професионална,1,2,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",1911,"Промишлена електроника - АЕ, РЕ/НЕ",професионална,1,1,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),професионална,1,9,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),професионална,1,14,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2352,"Газова техника - АЕ (дуална), РЕ/НЕ",професионална,1,1,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2357,"Възобновяеми енергийни източници - АЕ (дуална), РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2362,"Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална), РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2364,Автотранспортна техника - техник (дуална),професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2367,"Автомобилна мехатроника - АЕ, РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2376,"Автомобилна  мехатроника - АЕ (дуална), РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2378,"Електрически превозни средства - АЕ, РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2380,"Ремонт на летателни апарати - АЕ, РЕ/НЕ",професионална,1,0,0,0
"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2383,Експлоатация на автомобилния транспорт,професионална,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2752,"Компютърни мрежи - АЕ, ИЕ",професионална,1,1,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2756,"Телекомуникационни системи - АЕ, РЕ",професионална,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2760,"Приложно програмиране - АЕ интензивно, НЕ",професионална,1,1,0,0
