№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
231.  ,"2206409  ПГТЕ ""Хенри Форд""",2376  Автомобилна  мехатроника - АЕ (дуална) РЕ/НЕ,271,399.5,без квоти
232.  ,"2212096  96. СУ ""Л. Н. Толстой""",0903  Обществени науки - АЕ интензивно  ИЕ/РЕ,270.5,413.5,без квоти
233.  ,2211417  ПГО,0472  Бутикови облекла - ИтЕ  АЕ,270.5,378.5,без квоти
234.  ,2216423  СПГТ,1285  Организация на хотелиерството - АЕ,270,392,без квоти
235.  ,"2214101  101 СУ ""БАЧО КИРО""",2889  Софтуерни и хардуерни науки - АЕ интензивно  НЕ,268.5,383,без квоти
236.  ,2223055  55 СУ,2144  Софтуерни и хардуерни науки - АЕ интензивно  НЕ,268,419.5,без квоти
237.  ,"2213144  144 СУ ""Народни будители""",1123  Рекламна графика - АЕ  РЕ/ИЕ,267,458,без квоти
238.  ,2224121  121 СУ,2637  Софтуерни и хардуерни науки - АЕ  ИЕ,267,347,без квоти
239.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0319  Измервателна и организационна техника - АЕ  НЕ,262,321.5,без квоти
240.  ,"2209305  203 ПЕГ ""Св. Методий""",2904  Чужди езици - АЕ интензивно  НЕ/РЕ,260.5,429.25,без квоти
241.  ,"2220029  29. СУ ""Кузман Шапкарев""",3515  Софтуерни и хардуерни науки,260.25,377.5,без квоти
242.  ,"2209305  203 ПЕГ ""Св. Методий""",2909  Чужди езици - ИЕ интензивно  АЕ/НЕ,259.25,406.75,без квоти
243.  ,2216423  СПГТ,1287  Екскурзоводско обслужване - АЕ,259,399.5,без квоти
244.  ,2223431  ПГ по телекомуникации,0707  Оптически комуникационни системи - АЕ,258.25,329.5,без квоти
245.  ,"2205408  СПГ ""Княгиня Евдокия""",2837  Съдебна администрация - АЕ   РЕ,258,383.25,без квоти
246.  ,"2206410  ПГАВТ  ""А.С.Попов""",2763  Компютърна техника и технологии - АЕ  ИЕ,257,359.75,без квоти
247.  ,2211417  ПГО,0505  Сценичен костюм - АЕ  ИтЕ,254,363.5,без квоти
248.  ,2224047  47 СУ,0515  Предприемачески - АЕ интензивно  РЕ,254,342.5,без квоти
249.  ,"2206409  ПГТЕ ""Хенри Форд""",2380  Ремонт на летателни апарати - АЕ  РЕ/НЕ,249.5,395,без квоти
250.  ,"2206410  ПГАВТ  ""А.С.Попов""",2752  Компютърни мрежи - АЕ  ИЕ,249,411.5,без квоти
251.  ,2216423  СПГТ,1281  Кетъринг - ИЕ,246,415,без квоти
252.  ,"2214101  101 СУ ""БАЧО КИРО""",2886  Икономическо развитие - АЕ интензивно  НЕ,245.75,359.25,без квоти
253.  ,2224121  121 СУ,2642  Предприемачески - АЕ  ИЕ/РЕ,245,385,без квоти
254.  ,"2219044  44. СУ ""Неофит Бозвели""",1538  Софтуерни и хардуерни науки - НЕ интензивно  АЕ,244.5,422,без квоти
255.  ,2216423  СПГТ,1283  Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,243,375,без квоти
256.  ,2216423  СПГТ,1286  Организация на обслужването в хотелиерството - АЕ,243,339,без квоти
257.  ,"2207108  108 СУ ""Н.Беловеждов""",3675  Предприемачески - АЕ интензивно НЕ,242.5,415.5,без квоти
258.  ,"2213128  128 СУ ""Алберт Айнщайн""",1670  Икономическо информационно осигуряване - АЕ  НЕ/РЕ,240,308.5,без квоти
259.  ,"2209036  36 СУ ""Максим Горки""",0784  Природни науки - АЕ интензивно  ИтЕ,239.25,375.25,без квоти
260.  ,2211417  ПГО,"0491  Конструиране, моделиране и технология на облекло от текстил - АЕ  ИтЕ",233.5,353.5,без квоти
261.  ,"2206409  ПГТЕ ""Хенри Форд""",2367  Автомобилна мехатроника - АЕ  РЕ/НЕ,233,332,без квоти
