"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,,,
,,,,, ,,,,,,
№,Район,Код,Училище,Код на паралелката,Име на паралелката,Тип,Балообразуване,Брой паралелки,На общо основание,Младежи,Девойки
32,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2773,Чужди езици - АЕ интензивно  ИЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,0,13,13
33,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2775,Чужди езици - АЕ интензивно  ФЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,0,13,13
34,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2777,Чужди езици - АЕ интензивно  РЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,0,13,13
35,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
36,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3372,"Природни науки - АЕ интензивно, ИЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
37,Възраждане,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ ,,Професор Константин Гълъбов"", ГР.СОФИЯ",2644,"Чужди езици - НЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),7,0,91,91
38,Възраждане,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1952,Чужди езици - АЕ интензивно Иврит,профилирана,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
39,Възраждане,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1961,Природни науки - АЕ интензивно   Иврит,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),1,26,0,0
40,Възраждане,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1968,Софтуерни и хардуерни науки - АЕ интензивно   Иврит,профилирана,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * ИТ),1,26,0,0
41,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0317,"Медицинска техника - НЕ, АЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
42,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0319,"Измервателна и организационна техника - АЕ, НЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
43,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0321,"Кинотехника аудио- и видеосистеми - АЕ, НЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),2,52,0,0
44,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0324,"Очна оптика - АЕ, НЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
45,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0325,"Лазерна и оптична техника - АЕ, НЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
46,Възраждане,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0328,"Компютърна техника и технологии - АЕ, НЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
47,Възраждане,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1856,Бутикови облекла,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
48,Възраждане,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1868,Конструиране моделиране и технология на обувни изделия (дуална),професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
49,Възраждане,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",3251,"Моден дизайн - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
50,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2524,"Пътно-строителна техника - АЕ, РЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
