№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
190.  ,2212097  97 СУ,2512  Търговия - АЕ (дуална) НЕ,239,255.5,без квоти
191.  ,"2213144  144 СУ ""Народни будители""",1123  Рекламна графика - АЕ  РЕ/ИЕ,237,270.5,без квоти
192.  ,"2209305  203 ПЕГ ""Св. Методий""",2910  Предприемачески - АЕ интензивно  ИЕ/НЕ,236.75,288.75,без квоти
193.  ,"2217151  Национално СУ  ""София""",2692  Изобразително изкуство - АЕ  РЕ,235.5,235.5,без квоти
194.  ,"2206409  ПГТЕ ""Хенри Форд""",2383  Експлоатация на автомобилния транспорт,230.5,240.5,без квоти
195.  ,"2206410  ПГАВТ  ""А.С.Попов""",2756  Телекомуникационни системи - АЕ  РЕ,230,361.5,без квоти
196.  ,"2205408  СПГ ""Княгиня Евдокия""",3382  Индустриални отношения - АЕ  РЕ,224,224,без квоти
197.  ,2206411  ПГХВТ,0448  Производство на захар и захарни изделия - АЕ  РЕ,223,323,без квоти
198.  ,"2212303  33 ЕГ ""Света София""",2797  Екскурзоводско обслужване - АЕ интензивно РЕ,223,256.5,без квоти
199.  ,2218192  192 СУ,2952  Туристическа анимация,220.75,228,без квоти
200.  ,"2207068  68 СУ ""Акад.Никола Обрешков""",3634  Природни науки - АЕ  НЕ/РЕ,220,259.5,без квоти
201.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851  Екология и опазване на околната среда - АЕ  НЕ,217,314.5,без квоти
202.  ,2216423  СПГТ,1277  Кетъринг - РЕ,216,235,без квоти
203.  ,2216423  СПГТ,1284  Производство и обслужване в заведенията за хранене и развлечения - НЕ,216,216,без квоти
204.  ,"2206003  3 СУ ""Марин Дринов""",2913  Изобразително изкуство - РЕ   АЕ,215.5,361.25,без квоти
205.  ,"2206410  ПГАВТ  ""А.С.Попов""",3317  Охранителна техника и системи за сигурност - АЕ  НЕ,213.25,229.75,без квоти
206.  ,"2214101  101 СУ ""БАЧО КИРО""",2886  Икономическо развитие - АЕ интензивно  НЕ,212,297.5,без квоти
207.  ,"2213039  39 СУ ""П.Динеков""",1802  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ,211,313.5,без квоти
