"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
48,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",435,435,458,482,458.5,482
49,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки БЗО, ХООС, ИЕ - интензивно, АЕ",433.5,434,433.5,466,443.5,466
50,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,433.5,435.25,433.5,459.25,459.25,451.5
51,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",432.5,432.5,455,461,442.5,461
52,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ИЕ",432.5,432.5,433,490,490,485.5
53,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,431.32,434.6,431.32,478.96,478.96,470.85
54,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - ЯЕ интензивно, АЕ",431,432,431,478.5,474.5,478.5
55,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",431,431,431.5,454,454,449
56,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ",431,431.5,431,453.5,442,453.5
57,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",431,432,431,461.5,451.5,461.5
58,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",430.5,0,430.5,455.5,0,455.5
59,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4767,"Обществени науки - Ист/Фил, ИЕ интензивно, АЕ",430,434.5,430,455.5,455.5,451.5
60,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",429,429.5,429,454,448,454
61,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",428.5,428.5,436,452.5,448,452.5
62,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",428,428,428,462.5,450.5,462.5
63,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",428,428,446,459,436.5,459
64,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",427,427,448,458,447.5,458
65,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,"Чужди езици - АЕ интензивно, ИЕ",426.5,426.5,451,465,450,465
66,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",426.5,426.5,435,481.25,462,481.25
67,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Хуманитарни науки - ИЕ интензивно, АЕ",425.5,425.5,425.75,452.5,452.5,448.75
68,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Обществени науки - Ист/Фил, АЕ интензивно, ИЕ",424,424,424,443.5,430.5,443.5
69,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",423.25,423.75,423.25,475.5,434,475.5
70,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",421.5,421.5,425,456.75,456.75,425
71,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",420.5,420.5,450,470.5,428.5,470.5
72,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Обществени науки - ИЕ интензивно, АЕ",420.25,420.25,420.5,471,448,471
73,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хуманитарни науки - АЕ интензивно, ИЕ",419.75,419.75,419.75,453.25,435.75,453.25
74,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ФЕ интензивно, ИЕ",419,419,419,453.5,425.5,453.5
