"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
309,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",138,138,139,330.5,312,330.5
310,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",138,138,141,285,285,259
311,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ интензивно; РЕ,135,139,135,379.25,286,379.25
312,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,134.5,136,134.5,385.5,361,385.5
313,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,133.5,133.5,0,299.5,299.5,0
314,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,133,134,133,236,236,194
315,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,133,133,186,375,345.5,375
316,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,131.5,131.5,165.5,357.5,313.25,357.5
317,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,130,135,130,293.5,293.5,259
318,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,130,130,148,290,290,207
319,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,129,129,0,372.5,372.5,0
320,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",125,125,186,236,236,215
321,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,124.6,124.6,278.7,401.05,392.25,401.05
322,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници (дуална) - АЕ,121,121,0,423.5,423.5,0
323,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),115.5,115.5,0,217.5,217.5,0
324,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,115,115,129.5,322,216,322
325,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,114,114,0,273,273,0
326,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,112.5,112.5,132,298,298,158.5
327,2210162,"162 Обединено училище ""Отец Паисий""",4591,Изобразително изкуство,110,110,111,327.5,327.5,283
328,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,109,109,120,264,153,264
329,2217066,"66 Средно училище ""Филип Станиславов""",3935,Бизнес администрация - АЕ интензивно,108,108,116.5,348.5,270.5,348.5
330,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",108,108,309.5,341,341,309.5
331,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,101,101,0,378.5,378.5,0
332,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,100,100,0,332,332,0
333,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,98,98,0,268,268,0
334,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,97,97,131,243,97,243
335,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ разширено,96,131,96,344,249,344
336,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",96,110,96,256.5,256.5,241
337,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,"Подемно - транспортна техника, монтирана на пътни транспортни средства",96,96,0,188,188,0
338,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,"Електронна търговия - АЕ интензивно, НЕ",94,94,211,423,316,423
339,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,94,94,0,207,207,0
340,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4274,Организация и технология на козметичните услуги,91,0,91,307.5,0,307.5
341,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",90,90,153.5,354.5,354.5,333.5
342,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",90,90,96,421,421,370
343,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - АЕ,89,139.5,89,431.25,353.25,431.25
344,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,89,129,89,305,212.5,305
345,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4507,Организация на туризма и свободното време - АЕ,89,89,171,275.75,232,275.75
346,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, НЕ",88,88,141,264.5,264.5,211
347,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,88,88,0,321,321,0
348,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),88,88,0,293.5,293.5,0
349,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",86,91,86,277.25,247.5,277.25
350,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,83,83,128,420.75,420.75,335.5
351,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Производство и обслужване в заведенията за хранене и развлечения - АЕ,82,82,109,329,329,190
352,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,82,0,82,305.5,0,305.5
353,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",79,79,123,402.75,192,402.75
354,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Митническо и данъчно обслужване,78,78,187,320,320,202
355,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,77,118,77,358.5,208,358.5
356,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,74,74,100,348.5,287,348.5
357,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,72,72,81,208,132,208
358,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),71,127,71,256,256,161
359,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,"Топлотехника - отоплителна, климатична, вентилационна и хладилна (дуална) - АЕ",70,70,0,325.5,325.5,0
360,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,68,68,86,296.5,230,296.5
361,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2903,Цветарство,64,107,64,136,123,136
362,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",60,60,65,387.5,387.5,267.5
363,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,59.5,59.5,128,434.75,374.5,434.75
364,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение - АЕ,58,58,0,228,228,0
365,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги,54,71,54,150,150,100
366,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4825,Сценичен костюм,54,71,54,306.25,209,306.25
367,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,52,52,52,222,197,222
368,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,52,52,74,200,200,175
369,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,52,74,52,458,458,416.5
370,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,48,48,93,182,132,182
371,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална) - РЕ,44,44,0,188,188,0
372,2210117,117. СУ,0975,Предприемачески,41,102.5,41,305,216.5,305
373,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",41,41,89.5,250,250,179
374,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,36,81,36,266,210,266
375,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,30,30,58,271,151,271
376,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване - АЕ,30,30,112.5,291.5,192,291.5
377,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,30,30,30,380.5,257,380.5
378,2212037,"37. Средно училище ""Райна Княгиня""",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",30,41,30,306,253,306
379,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,30,30,86,215,152,215
380,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",4727,Ветеринарен лаборант - разширено изучаване на АЕ,30,30,30,317,274,317
381,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2901,Трайни насаждения,30,54,30,217,217,30
382,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника - АЕ,30,30,101,422,422,101
383,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,30,30,160,313.75,313.75,291.5
384,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,"Производство на хляб, хлебни и сладкарски изделия - АЕ, ИспанскиЕ",30,30,157.5,305,274.5,305
385,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,30,30,140,332,323,332
